"Date and Time Run 1","Time (s) Run 1","Temperature (°C) Run 1"
03/18/2026 07:01:14 pm,0.000,24.1
03/18/2026 07:01:14 pm,0.500,24.1
03/18/2026 07:01:15 pm,1.000,24.1
03/18/2026 07:01:15 pm,1.500,24.1
03/18/2026 07:01:16 pm,2.000,24.1
03/18/2026 07:01:16 pm,2.500,24.1
03/18/2026 07:01:17 pm,3.000,24.1
03/18/2026 07:01:17 pm,3.500,24.1
03/18/2026 07:01:18 pm,4.000,24.1
03/18/2026 07:01:18 pm,4.500,24.1
03/18/2026 07:01:19 pm,5.000,24.1
03/18/2026 07:01:19 pm,5.500,24.1
03/18/2026 07:01:20 pm,6.000,24.1
03/18/2026 07:01:20 pm,6.500,24.1
03/18/2026 07:01:21 pm,7.000,24.1
03/18/2026 07:01:21 pm,7.500,24.1
03/18/2026 07:01:22 pm,8.000,24.1
03/18/2026 07:01:22 pm,8.500,24.1
03/18/2026 07:01:23 pm,9.000,24.1
03/18/2026 07:01:23 pm,9.500,24.1
03/18/2026 07:01:24 pm,10.000,24.1
03/18/2026 07:01:24 pm,10.500,24.1
03/18/2026 07:01:25 pm,11.000,24.1
03/18/2026 07:01:25 pm,11.500,24.1
03/18/2026 07:01:26 pm,12.000,24.1
03/18/2026 07:01:26 pm,12.500,24.1
03/18/2026 07:01:27 pm,13.000,24.2
03/18/2026 07:01:27 pm,13.500,24.1
03/18/2026 07:01:28 pm,14.000,24.1
03/18/2026 07:01:28 pm,14.500,24.1
03/18/2026 07:01:29 pm,15.000,24.1
03/18/2026 07:01:29 pm,15.500,24.1
03/18/2026 07:01:30 pm,16.000,24.1
03/18/2026 07:01:30 pm,16.500,24.1
03/18/2026 07:01:31 pm,17.000,24.1
03/18/2026 07:01:31 pm,17.500,24.1
03/18/2026 07:01:32 pm,18.000,24.1
03/18/2026 07:01:32 pm,18.500,24.1
03/18/2026 07:01:33 pm,19.000,24.1
03/18/2026 07:01:33 pm,19.500,24.1
03/18/2026 07:01:34 pm,20.000,24.1
03/18/2026 07:01:34 pm,20.500,24.1
03/18/2026 07:01:35 pm,21.000,24.1
03/18/2026 07:01:35 pm,21.500,24.1
03/18/2026 07:01:36 pm,22.000,24.1
03/18/2026 07:01:36 pm,22.500,24.1
03/18/2026 07:01:37 pm,23.000,24.1
03/18/2026 07:01:37 pm,23.500,24.1
03/18/2026 07:01:38 pm,24.000,24.1
03/18/2026 07:01:38 pm,24.500,24.1
03/18/2026 07:01:39 pm,25.000,24.1
03/18/2026 07:01:39 pm,25.500,24.1
03/18/2026 07:01:40 pm,26.000,24.1
03/18/2026 07:01:40 pm,26.500,24.1
03/18/2026 07:01:41 pm,27.000,24.1
03/18/2026 07:01:41 pm,27.500,24.1
03/18/2026 07:01:42 pm,28.000,24.1
03/18/2026 07:01:42 pm,28.500,24.1
03/18/2026 07:01:43 pm,29.000,24.1
03/18/2026 07:01:43 pm,29.500,24.1
03/18/2026 07:01:44 pm,30.000,24.1
03/18/2026 07:01:44 pm,30.500,24.1
03/18/2026 07:01:45 pm,31.000,24.1
03/18/2026 07:01:45 pm,31.500,24.1
03/18/2026 07:01:46 pm,32.000,24.1
