"Date and Time Run 1","Time (s) Run 1","Temperature (°C) Run 1"
03/18/2026 08:19:07 pm,0.000,24.4
03/18/2026 08:19:07 pm,0.500,24.4
03/18/2026 08:19:08 pm,1.000,24.3
03/18/2026 08:19:08 pm,1.500,24.4
03/18/2026 08:19:09 pm,2.000,24.4
03/18/2026 08:19:09 pm,2.500,24.4
03/18/2026 08:19:10 pm,3.000,24.3
03/18/2026 08:19:10 pm,3.500,24.3
03/18/2026 08:19:11 pm,4.000,24.4
03/18/2026 08:19:11 pm,4.500,24.4
03/18/2026 08:19:12 pm,5.000,24.4
03/18/2026 08:19:12 pm,5.500,24.4
03/18/2026 08:19:13 pm,6.000,24.3
03/18/2026 08:19:13 pm,6.500,24.3
03/18/2026 08:19:14 pm,7.000,24.3
03/18/2026 08:19:14 pm,7.500,24.3
03/18/2026 08:19:15 pm,8.000,24.4
03/18/2026 08:19:15 pm,8.500,24.3
03/18/2026 08:19:16 pm,9.000,24.3
03/18/2026 08:19:16 pm,9.500,24.3
03/18/2026 08:19:17 pm,10.000,24.4
03/18/2026 08:19:17 pm,10.500,24.4
03/18/2026 08:19:18 pm,11.000,24.4
03/18/2026 08:19:18 pm,11.500,24.3
03/18/2026 08:19:19 pm,12.000,24.3
03/18/2026 08:19:19 pm,12.500,24.4
03/18/2026 08:19:20 pm,13.000,24.4
03/18/2026 08:19:20 pm,13.500,24.3
03/18/2026 08:19:21 pm,14.000,24.4
03/18/2026 08:19:21 pm,14.500,24.4
03/18/2026 08:19:22 pm,15.000,24.4
03/18/2026 08:19:22 pm,15.500,24.3
03/18/2026 08:19:23 pm,16.000,24.4
03/18/2026 08:19:23 pm,16.500,24.4
03/18/2026 08:19:24 pm,17.000,24.4
03/18/2026 08:19:24 pm,17.500,24.4
03/18/2026 08:19:25 pm,18.000,24.3
03/18/2026 08:19:25 pm,18.500,24.4
03/18/2026 08:19:26 pm,19.000,24.4
03/18/2026 08:19:26 pm,19.500,24.4
03/18/2026 08:19:27 pm,20.000,24.4
03/18/2026 08:19:27 pm,20.500,24.4
03/18/2026 08:19:28 pm,21.000,24.3
