"Date and Time Run 1","Time (s) Run 1","Temperature (°C) Run 1"
03/18/2026 08:30:08 pm,0.000,24.4
03/18/2026 08:30:08 pm,0.500,24.4
03/18/2026 08:30:09 pm,1.000,24.4
03/18/2026 08:30:09 pm,1.500,24.4
03/18/2026 08:30:10 pm,2.000,24.4
03/18/2026 08:30:10 pm,2.500,24.4
03/18/2026 08:30:11 pm,3.000,24.4
03/18/2026 08:30:11 pm,3.500,24.4
03/18/2026 08:30:12 pm,4.000,24.4
03/18/2026 08:30:12 pm,4.500,24.4
03/18/2026 08:30:13 pm,5.000,24.4
03/18/2026 08:30:13 pm,5.500,24.4
03/18/2026 08:30:14 pm,6.000,24.4
03/18/2026 08:30:14 pm,6.500,24.4
03/18/2026 08:30:15 pm,7.000,24.4
03/18/2026 08:30:15 pm,7.500,24.4
03/18/2026 08:30:16 pm,8.000,24.4
03/18/2026 08:30:16 pm,8.500,24.4
03/18/2026 08:30:17 pm,9.000,24.4
03/18/2026 08:30:17 pm,9.500,24.4
03/18/2026 08:30:18 pm,10.000,24.4
03/18/2026 08:30:18 pm,10.500,24.4
03/18/2026 08:30:19 pm,11.000,24.4
03/18/2026 08:30:19 pm,11.500,24.4
03/18/2026 08:30:20 pm,12.000,24.4
03/18/2026 08:30:20 pm,12.500,24.4
03/18/2026 08:30:21 pm,13.000,24.4
03/18/2026 08:30:21 pm,13.500,24.4
03/18/2026 08:30:22 pm,14.000,24.4
03/18/2026 08:30:22 pm,14.500,24.4
03/18/2026 08:30:23 pm,15.000,24.4
03/18/2026 08:30:23 pm,15.500,24.4
03/18/2026 08:30:24 pm,16.000,24.4
03/18/2026 08:30:24 pm,16.500,24.4
03/18/2026 08:30:25 pm,17.000,24.4
03/18/2026 08:30:25 pm,17.500,24.4
03/18/2026 08:30:26 pm,18.000,24.4
03/18/2026 08:30:26 pm,18.500,24.4
03/18/2026 08:30:27 pm,19.000,24.4
03/18/2026 08:30:27 pm,19.500,24.4
03/18/2026 08:30:28 pm,20.000,24.4
03/18/2026 08:30:28 pm,20.500,24.4
03/18/2026 08:30:29 pm,21.000,24.4
03/18/2026 08:30:29 pm,21.500,24.4
03/18/2026 08:30:30 pm,22.000,24.4
03/18/2026 08:30:30 pm,22.500,24.4
03/18/2026 08:30:31 pm,23.000,24.4
03/18/2026 08:30:31 pm,23.500,24.4
03/18/2026 08:30:32 pm,24.000,24.4
03/18/2026 08:30:32 pm,24.500,24.4
03/18/2026 08:30:33 pm,25.000,24.4
03/18/2026 08:30:33 pm,25.500,24.4
03/18/2026 08:30:34 pm,26.000,24.4
03/18/2026 08:30:34 pm,26.500,24.4
03/18/2026 08:30:35 pm,27.000,24.4
03/18/2026 08:30:35 pm,27.500,24.4
03/18/2026 08:30:36 pm,28.000,24.4
03/18/2026 08:30:36 pm,28.500,24.4
03/18/2026 08:30:37 pm,29.000,24.4
03/18/2026 08:30:37 pm,29.500,24.4
03/18/2026 08:30:38 pm,30.000,24.4
03/18/2026 08:30:38 pm,30.500,24.4
03/18/2026 08:30:39 pm,31.000,24.4
03/18/2026 08:30:39 pm,31.500,24.4
03/18/2026 08:30:40 pm,32.000,24.4
03/18/2026 08:30:40 pm,32.500,24.4
03/18/2026 08:30:41 pm,33.000,24.4
03/18/2026 08:30:41 pm,33.500,24.4
03/18/2026 08:30:42 pm,34.000,24.4
03/18/2026 08:30:42 pm,34.500,24.4
03/18/2026 08:30:43 pm,35.000,24.4
03/18/2026 08:30:43 pm,35.500,24.4
03/18/2026 08:30:44 pm,36.000,24.4
03/18/2026 08:30:44 pm,36.500,24.4
03/18/2026 08:30:45 pm,37.000,24.4
03/18/2026 08:30:45 pm,37.500,24.4
03/18/2026 08:30:46 pm,38.000,24.4
03/18/2026 08:30:46 pm,38.500,24.4
03/18/2026 08:30:47 pm,39.000,24.4
03/18/2026 08:30:47 pm,39.500,24.4
03/18/2026 08:30:48 pm,40.000,24.4
03/18/2026 08:30:48 pm,40.500,24.4
03/18/2026 08:30:49 pm,41.000,24.4
03/18/2026 08:30:49 pm,41.500,24.4
03/18/2026 08:30:50 pm,42.000,24.4
03/18/2026 08:30:50 pm,42.500,24.4
