"Date and Time Run 1","Time (s) Run 1","Temperature (°C) Run 1"
03/18/2026 06:42:08 pm,0.000,24.0
03/18/2026 06:42:08 pm,0.500,24.0
03/18/2026 06:42:09 pm,1.000,24.0
03/18/2026 06:42:09 pm,1.500,24.0
03/18/2026 06:42:10 pm,2.000,24.0
03/18/2026 06:42:10 pm,2.500,24.0
03/18/2026 06:42:11 pm,3.000,24.0
03/18/2026 06:42:11 pm,3.500,24.0
03/18/2026 06:42:12 pm,4.000,24.0
03/18/2026 06:42:12 pm,4.500,24.0
03/18/2026 06:42:13 pm,5.000,24.0
03/18/2026 06:42:13 pm,5.500,24.0
03/18/2026 06:42:14 pm,6.000,24.0
03/18/2026 06:42:14 pm,6.500,24.0
03/18/2026 06:42:15 pm,7.000,24.0
03/18/2026 06:42:15 pm,7.500,24.0
03/18/2026 06:42:16 pm,8.000,24.0
03/18/2026 06:42:16 pm,8.500,24.0
03/18/2026 06:42:17 pm,9.000,24.0
03/18/2026 06:42:17 pm,9.500,24.0
03/18/2026 06:42:18 pm,10.000,24.0
03/18/2026 06:42:18 pm,10.500,24.0
03/18/2026 06:42:19 pm,11.000,24.0
03/18/2026 06:42:19 pm,11.500,24.0
03/18/2026 06:42:20 pm,12.000,24.0
03/18/2026 06:42:20 pm,12.500,24.0
03/18/2026 06:42:21 pm,13.000,24.0
03/18/2026 06:42:21 pm,13.500,24.0
03/18/2026 06:42:22 pm,14.000,24.0
03/18/2026 06:42:22 pm,14.500,24.0
03/18/2026 06:42:23 pm,15.000,24.0
03/18/2026 06:42:23 pm,15.500,24.0
03/18/2026 06:42:24 pm,16.000,24.0
03/18/2026 06:42:24 pm,16.500,24.0
03/18/2026 06:42:25 pm,17.000,24.0
03/18/2026 06:42:25 pm,17.500,24.0
03/18/2026 06:42:26 pm,18.000,24.0
03/18/2026 06:42:26 pm,18.500,24.0
03/18/2026 06:42:27 pm,19.000,24.0
03/18/2026 06:42:27 pm,19.500,24.0
03/18/2026 06:42:28 pm,20.000,24.0
03/18/2026 06:42:28 pm,20.500,24.0
03/18/2026 06:42:29 pm,21.000,24.0
03/18/2026 06:42:29 pm,21.500,24.0
03/18/2026 06:42:30 pm,22.000,24.0
03/18/2026 06:42:30 pm,22.500,24.0
03/18/2026 06:42:31 pm,23.000,24.0
03/18/2026 06:42:31 pm,23.500,24.0
03/18/2026 06:42:32 pm,24.000,24.0
03/18/2026 06:42:32 pm,24.500,24.0
03/18/2026 06:42:33 pm,25.000,24.0
03/18/2026 06:42:33 pm,25.500,24.0
03/18/2026 06:42:34 pm,26.000,24.0
03/18/2026 06:42:34 pm,26.500,24.0
03/18/2026 06:42:35 pm,27.000,24.0
