"Date and Time Run 1","Time (s) Run 1","Temperature (°C) Run 1"
03/18/2026 06:27:38 pm,0.000,23.9
03/18/2026 06:27:38 pm,0.500,23.9
03/18/2026 06:27:39 pm,1.000,23.9
03/18/2026 06:27:39 pm,1.500,23.9
03/18/2026 06:27:40 pm,2.000,23.9
03/18/2026 06:27:40 pm,2.500,23.9
03/18/2026 06:27:41 pm,3.000,23.9
03/18/2026 06:27:41 pm,3.500,23.9
03/18/2026 06:27:42 pm,4.000,23.9
03/18/2026 06:27:42 pm,4.500,23.9
03/18/2026 06:27:43 pm,5.000,23.9
03/18/2026 06:27:43 pm,5.500,23.9
03/18/2026 06:27:44 pm,6.000,23.9
03/18/2026 06:27:44 pm,6.500,23.9
03/18/2026 06:27:45 pm,7.000,23.9
03/18/2026 06:27:45 pm,7.500,23.9
03/18/2026 06:27:46 pm,8.000,23.9
03/18/2026 06:27:46 pm,8.500,23.9
03/18/2026 06:27:47 pm,9.000,23.9
03/18/2026 06:27:47 pm,9.500,23.9
03/18/2026 06:27:48 pm,10.000,23.9
03/18/2026 06:27:48 pm,10.500,23.9
03/18/2026 06:27:49 pm,11.000,23.9
03/18/2026 06:27:49 pm,11.500,23.9
03/18/2026 06:27:50 pm,12.000,23.9
03/18/2026 06:27:50 pm,12.500,23.9
03/18/2026 06:27:51 pm,13.000,23.9
03/18/2026 06:27:51 pm,13.500,23.9
03/18/2026 06:27:52 pm,14.000,23.9
03/18/2026 06:27:52 pm,14.500,23.9
03/18/2026 06:27:53 pm,15.000,23.9
03/18/2026 06:27:53 pm,15.500,23.9
03/18/2026 06:27:54 pm,16.000,23.9
03/18/2026 06:27:54 pm,16.500,23.9
03/18/2026 06:27:55 pm,17.000,23.9
03/18/2026 06:27:55 pm,17.500,23.9
03/18/2026 06:27:56 pm,18.000,23.9
03/18/2026 06:27:56 pm,18.500,23.9
03/18/2026 06:27:57 pm,19.000,23.9
03/18/2026 06:27:57 pm,19.500,23.9
03/18/2026 06:27:58 pm,20.000,23.9
03/18/2026 06:27:58 pm,20.500,23.9
03/18/2026 06:27:59 pm,21.000,23.9
03/18/2026 06:27:59 pm,21.500,23.9
03/18/2026 06:28:00 pm,22.000,23.9
03/18/2026 06:28:00 pm,22.500,23.9
03/18/2026 06:28:01 pm,23.000,23.9
03/18/2026 06:28:01 pm,23.500,23.9
03/18/2026 06:28:02 pm,24.000,23.9
03/18/2026 06:28:02 pm,24.500,23.9
03/18/2026 06:28:03 pm,25.000,23.9
03/18/2026 06:28:03 pm,25.500,23.9
03/18/2026 06:28:04 pm,26.000,23.9
03/18/2026 06:28:04 pm,26.500,23.9
03/18/2026 06:28:05 pm,27.000,23.9
03/18/2026 06:28:05 pm,27.500,23.9
03/18/2026 06:28:06 pm,28.000,23.9
03/18/2026 06:28:06 pm,28.500,23.9
03/18/2026 06:28:07 pm,29.000,23.9
03/18/2026 06:28:07 pm,29.500,23.9
03/18/2026 06:28:08 pm,30.000,23.9
03/18/2026 06:28:08 pm,30.500,23.9
03/18/2026 06:28:09 pm,31.000,23.9
03/18/2026 06:28:09 pm,31.500,23.9
03/18/2026 06:28:10 pm,32.000,23.9
03/18/2026 06:28:10 pm,32.500,23.9
03/18/2026 06:28:11 pm,33.000,23.9
03/18/2026 06:28:11 pm,33.500,23.9
03/18/2026 06:28:12 pm,34.000,23.9
03/18/2026 06:28:12 pm,34.500,23.9
03/18/2026 06:28:13 pm,35.000,23.9
03/18/2026 06:28:13 pm,35.500,23.9
03/18/2026 06:28:14 pm,36.000,23.9
03/18/2026 06:28:14 pm,36.500,23.9
03/18/2026 06:28:15 pm,37.000,23.9
03/18/2026 06:28:15 pm,37.500,23.9
03/18/2026 06:28:16 pm,38.000,23.9
03/18/2026 06:28:16 pm,38.500,23.9
03/18/2026 06:28:17 pm,39.000,23.9
03/18/2026 06:28:17 pm,39.500,23.9
03/18/2026 06:28:18 pm,40.000,23.9
03/18/2026 06:28:18 pm,40.500,23.9
03/18/2026 06:28:19 pm,41.000,23.9
03/18/2026 06:28:19 pm,41.500,23.9
03/18/2026 06:28:20 pm,42.000,23.9
03/18/2026 06:28:20 pm,42.500,23.9
03/18/2026 06:28:21 pm,43.000,23.9
03/18/2026 06:28:21 pm,43.500,23.9
03/18/2026 06:28:22 pm,44.000,23.9
03/18/2026 06:28:22 pm,44.500,23.9
03/18/2026 06:28:23 pm,45.000,23.9
03/18/2026 06:28:23 pm,45.500,23.9
03/18/2026 06:28:24 pm,46.000,23.9
03/18/2026 06:28:24 pm,46.500,23.9
03/18/2026 06:28:25 pm,47.000,23.9
03/18/2026 06:28:25 pm,47.500,23.9
03/18/2026 06:28:26 pm,48.000,23.9
03/18/2026 06:28:26 pm,48.500,23.9
03/18/2026 06:28:27 pm,49.000,23.9
03/18/2026 06:28:27 pm,49.500,23.9
03/18/2026 06:28:28 pm,50.000,23.9
03/18/2026 06:28:28 pm,50.500,23.9
03/18/2026 06:28:29 pm,51.000,23.9
03/18/2026 06:28:29 pm,51.500,23.9
03/18/2026 06:28:30 pm,52.000,23.9
03/18/2026 06:28:30 pm,52.500,23.9
03/18/2026 06:28:31 pm,53.000,23.9
03/18/2026 06:28:31 pm,53.500,23.9
03/18/2026 06:28:32 pm,54.000,23.9
03/18/2026 06:28:32 pm,54.500,23.9
03/18/2026 06:28:33 pm,55.000,23.9
03/18/2026 06:28:33 pm,55.500,23.9
03/18/2026 06:28:34 pm,56.000,23.9
03/18/2026 06:28:34 pm,56.500,23.9
03/18/2026 06:28:35 pm,57.000,23.9
03/18/2026 06:28:35 pm,57.500,23.9
03/18/2026 06:28:36 pm,58.000,23.9
03/18/2026 06:28:36 pm,58.500,23.9
03/18/2026 06:28:37 pm,59.000,23.9
03/18/2026 06:28:37 pm,59.500,23.9
03/18/2026 06:28:38 pm,60.000,23.9
03/18/2026 06:28:38 pm,60.500,23.9
03/18/2026 06:28:39 pm,61.000,23.9
03/18/2026 06:28:39 pm,61.500,23.9
03/18/2026 06:28:40 pm,62.000,23.9
03/18/2026 06:28:40 pm,62.500,23.9
03/18/2026 06:28:41 pm,63.000,23.9
03/18/2026 06:28:41 pm,63.500,23.9
03/18/2026 06:28:42 pm,64.000,23.9
03/18/2026 06:28:42 pm,64.500,23.9
03/18/2026 06:28:43 pm,65.000,23.9
03/18/2026 06:28:43 pm,65.500,23.9
03/18/2026 06:28:44 pm,66.000,23.9
03/18/2026 06:28:44 pm,66.500,23.9
03/18/2026 06:28:45 pm,67.000,23.9
03/18/2026 06:28:45 pm,67.500,23.9
03/18/2026 06:28:46 pm,68.000,23.9
03/18/2026 06:28:46 pm,68.500,23.9
03/18/2026 06:28:47 pm,69.000,23.9
03/18/2026 06:28:47 pm,69.500,23.9
03/18/2026 06:28:48 pm,70.000,23.9
03/18/2026 06:28:48 pm,70.500,23.9
03/18/2026 06:28:49 pm,71.000,23.9
03/18/2026 06:28:49 pm,71.500,23.9
03/18/2026 06:28:50 pm,72.000,23.9
03/18/2026 06:28:50 pm,72.500,23.9
03/18/2026 06:28:51 pm,73.000,23.9
03/18/2026 06:28:51 pm,73.500,23.9
03/18/2026 06:28:52 pm,74.000,23.9
03/18/2026 06:28:52 pm,74.500,23.9
03/18/2026 06:28:53 pm,75.000,23.9
03/18/2026 06:28:53 pm,75.500,23.9
03/18/2026 06:28:54 pm,76.000,23.9
03/18/2026 06:28:54 pm,76.500,23.9
03/18/2026 06:28:55 pm,77.000,23.9
03/18/2026 06:28:55 pm,77.500,23.9
03/18/2026 06:28:56 pm,78.000,23.9
03/18/2026 06:28:56 pm,78.500,23.9
03/18/2026 06:28:57 pm,79.000,23.9
03/18/2026 06:28:57 pm,79.500,23.9
03/18/2026 06:28:58 pm,80.000,23.9
03/18/2026 06:28:58 pm,80.500,23.9
03/18/2026 06:28:59 pm,81.000,23.9
03/18/2026 06:28:59 pm,81.500,23.9
03/18/2026 06:29:00 pm,82.000,23.9
03/18/2026 06:29:00 pm,82.500,23.9
03/18/2026 06:29:01 pm,83.000,23.9
03/18/2026 06:29:01 pm,83.500,23.9
03/18/2026 06:29:02 pm,84.000,23.9
03/18/2026 06:29:02 pm,84.500,23.9
03/18/2026 06:29:03 pm,85.000,23.9
03/18/2026 06:29:03 pm,85.500,23.9
03/18/2026 06:29:04 pm,86.000,23.9
03/18/2026 06:29:04 pm,86.500,23.9
03/18/2026 06:29:05 pm,87.000,23.9
03/18/2026 06:29:05 pm,87.500,23.9
03/18/2026 06:29:06 pm,88.000,23.9
03/18/2026 06:29:06 pm,88.500,23.9
03/18/2026 06:29:07 pm,89.000,23.9
03/18/2026 06:29:07 pm,89.500,23.9
03/18/2026 06:29:08 pm,90.000,23.9
03/18/2026 06:29:08 pm,90.500,23.9
03/18/2026 06:29:09 pm,91.000,23.9
03/18/2026 06:29:09 pm,91.500,23.9
03/18/2026 06:29:10 pm,92.000,23.9
03/18/2026 06:29:10 pm,92.500,23.9
03/18/2026 06:29:11 pm,93.000,23.9
03/18/2026 06:29:11 pm,93.500,23.9
03/18/2026 06:29:12 pm,94.000,23.9
03/18/2026 06:29:12 pm,94.500,23.9
03/18/2026 06:29:13 pm,95.000,23.9
03/18/2026 06:29:13 pm,95.500,23.9
03/18/2026 06:29:14 pm,96.000,23.9
03/18/2026 06:29:14 pm,96.500,23.9
03/18/2026 06:29:15 pm,97.000,23.9
03/18/2026 06:29:15 pm,97.500,23.9
03/18/2026 06:29:16 pm,98.000,23.9
03/18/2026 06:29:16 pm,98.500,23.9
03/18/2026 06:29:17 pm,99.000,23.9
03/18/2026 06:29:17 pm,99.500,23.9
03/18/2026 06:29:18 pm,100.000,23.9
03/18/2026 06:29:18 pm,100.500,23.9
03/18/2026 06:29:19 pm,101.000,23.9
03/18/2026 06:29:19 pm,101.500,23.9
03/18/2026 06:29:20 pm,102.000,23.9
03/18/2026 06:29:20 pm,102.500,23.9
03/18/2026 06:29:21 pm,103.000,23.9
03/18/2026 06:29:21 pm,103.500,23.9
03/18/2026 06:29:22 pm,104.000,23.9
03/18/2026 06:29:22 pm,104.500,23.9
03/18/2026 06:29:23 pm,105.000,23.9
03/18/2026 06:29:23 pm,105.500,23.9
03/18/2026 06:29:24 pm,106.000,23.9
03/18/2026 06:29:24 pm,106.500,23.9
03/18/2026 06:29:25 pm,107.000,23.9
03/18/2026 06:29:25 pm,107.500,23.9
03/18/2026 06:29:26 pm,108.000,23.9
03/18/2026 06:29:26 pm,108.500,23.9
03/18/2026 06:29:27 pm,109.000,23.9
03/18/2026 06:29:27 pm,109.500,23.9
03/18/2026 06:29:28 pm,110.000,23.9
03/18/2026 06:29:28 pm,110.500,23.9
03/18/2026 06:29:29 pm,111.000,23.9
03/18/2026 06:29:29 pm,111.500,23.9
03/18/2026 06:29:30 pm,112.000,23.9
03/18/2026 06:29:30 pm,112.500,23.9
03/18/2026 06:29:31 pm,113.000,23.9
03/18/2026 06:29:31 pm,113.500,23.9
03/18/2026 06:29:32 pm,114.000,23.9
03/18/2026 06:29:32 pm,114.500,23.9
03/18/2026 06:29:33 pm,115.000,23.9
03/18/2026 06:29:33 pm,115.500,23.9
03/18/2026 06:29:34 pm,116.000,23.9
03/18/2026 06:29:34 pm,116.500,23.9
03/18/2026 06:29:35 pm,117.000,23.9
03/18/2026 06:29:35 pm,117.500,23.9
03/18/2026 06:29:36 pm,118.000,23.9
03/18/2026 06:29:36 pm,118.500,23.9
03/18/2026 06:29:37 pm,119.000,23.9
03/18/2026 06:29:37 pm,119.500,23.9
03/18/2026 06:29:38 pm,120.000,23.9
03/18/2026 06:29:38 pm,120.500,23.9
03/18/2026 06:29:39 pm,121.000,23.9
03/18/2026 06:29:39 pm,121.500,23.9
03/18/2026 06:29:40 pm,122.000,23.9
03/18/2026 06:29:40 pm,122.500,23.9
03/18/2026 06:29:41 pm,123.000,23.9
03/18/2026 06:29:41 pm,123.500,23.9
03/18/2026 06:29:42 pm,124.000,23.9
03/18/2026 06:29:42 pm,124.500,23.9
03/18/2026 06:29:43 pm,125.000,23.9
03/18/2026 06:29:43 pm,125.500,23.9
03/18/2026 06:29:44 pm,126.000,23.9
03/18/2026 06:29:44 pm,126.500,23.9
03/18/2026 06:29:45 pm,127.000,23.9
03/18/2026 06:29:45 pm,127.500,23.9
03/18/2026 06:29:46 pm,128.000,23.9
03/18/2026 06:29:46 pm,128.500,23.9
03/18/2026 06:29:47 pm,129.000,23.9
03/18/2026 06:29:47 pm,129.500,23.9
03/18/2026 06:29:48 pm,130.000,23.9
03/18/2026 06:29:48 pm,130.500,23.9
03/18/2026 06:29:49 pm,131.000,23.9
03/18/2026 06:29:49 pm,131.500,23.9
03/18/2026 06:29:50 pm,132.000,23.9
03/18/2026 06:29:50 pm,132.500,23.9
03/18/2026 06:29:51 pm,133.000,23.9
03/18/2026 06:29:51 pm,133.500,23.9
03/18/2026 06:29:52 pm,134.000,23.9
03/18/2026 06:29:52 pm,134.500,23.9
03/18/2026 06:29:53 pm,135.000,23.9
03/18/2026 06:29:53 pm,135.500,23.9
03/18/2026 06:29:54 pm,136.000,23.9
03/18/2026 06:29:54 pm,136.500,23.9
03/18/2026 06:29:55 pm,137.000,23.9
03/18/2026 06:29:55 pm,137.500,23.9
03/18/2026 06:29:56 pm,138.000,23.9
03/18/2026 06:29:56 pm,138.500,23.9
03/18/2026 06:29:57 pm,139.000,23.9
03/18/2026 06:29:57 pm,139.500,23.9
03/18/2026 06:29:58 pm,140.000,23.9
03/18/2026 06:29:58 pm,140.500,23.9
03/18/2026 06:29:59 pm,141.000,23.9
03/18/2026 06:29:59 pm,141.500,23.9
03/18/2026 06:30:00 pm,142.000,23.9
03/18/2026 06:30:00 pm,142.500,23.9
03/18/2026 06:30:01 pm,143.000,23.9
03/18/2026 06:30:01 pm,143.500,23.9
03/18/2026 06:30:02 pm,144.000,23.9
03/18/2026 06:30:02 pm,144.500,23.9
03/18/2026 06:30:03 pm,145.000,23.9
03/18/2026 06:30:03 pm,145.500,23.9
03/18/2026 06:30:04 pm,146.000,23.9
03/18/2026 06:30:04 pm,146.500,23.9
03/18/2026 06:30:05 pm,147.000,23.9
03/18/2026 06:30:05 pm,147.500,23.9
03/18/2026 06:30:06 pm,148.000,23.9
03/18/2026 06:30:06 pm,148.500,23.9
03/18/2026 06:30:07 pm,149.000,23.9
03/18/2026 06:30:07 pm,149.500,23.9
03/18/2026 06:30:08 pm,150.000,23.9
03/18/2026 06:30:08 pm,150.500,23.9
03/18/2026 06:30:09 pm,151.000,23.9
03/18/2026 06:30:09 pm,151.500,23.9
03/18/2026 06:30:10 pm,152.000,23.9
03/18/2026 06:30:10 pm,152.500,23.9
03/18/2026 06:30:11 pm,153.000,23.9
03/18/2026 06:30:11 pm,153.500,23.9
03/18/2026 06:30:12 pm,154.000,23.9
03/18/2026 06:30:12 pm,154.500,23.9
03/18/2026 06:30:13 pm,155.000,23.9
03/18/2026 06:30:13 pm,155.500,23.9
03/18/2026 06:30:14 pm,156.000,23.9
03/18/2026 06:30:14 pm,156.500,23.9
03/18/2026 06:30:15 pm,157.000,23.9
03/18/2026 06:30:15 pm,157.500,23.9
03/18/2026 06:30:16 pm,158.000,23.9
03/18/2026 06:30:16 pm,158.500,23.9
03/18/2026 06:30:17 pm,159.000,23.9
03/18/2026 06:30:17 pm,159.500,23.9
03/18/2026 06:30:18 pm,160.000,23.9
03/18/2026 06:30:18 pm,160.500,23.9
03/18/2026 06:30:19 pm,161.000,23.9
03/18/2026 06:30:19 pm,161.500,23.9
03/18/2026 06:30:20 pm,162.000,23.9
03/18/2026 06:30:20 pm,162.500,23.9
03/18/2026 06:30:21 pm,163.000,23.9
03/18/2026 06:30:21 pm,163.500,23.9
03/18/2026 06:30:22 pm,164.000,23.9
03/18/2026 06:30:22 pm,164.500,23.9
03/18/2026 06:30:23 pm,165.000,23.9
03/18/2026 06:30:23 pm,165.500,23.9
03/18/2026 06:30:24 pm,166.000,23.9
03/18/2026 06:30:24 pm,166.500,23.9
03/18/2026 06:30:25 pm,167.000,23.9
03/18/2026 06:30:25 pm,167.500,23.9
03/18/2026 06:30:26 pm,168.000,23.9
03/18/2026 06:30:26 pm,168.500,23.9
03/18/2026 06:30:27 pm,169.000,23.9
03/18/2026 06:30:27 pm,169.500,23.9
03/18/2026 06:30:28 pm,170.000,23.9
03/18/2026 06:30:28 pm,170.500,23.9
03/18/2026 06:30:29 pm,171.000,23.9
03/18/2026 06:30:29 pm,171.500,23.9
03/18/2026 06:30:30 pm,172.000,23.9
03/18/2026 06:30:30 pm,172.500,23.9
03/18/2026 06:30:31 pm,173.000,23.9
03/18/2026 06:30:31 pm,173.500,23.9
03/18/2026 06:30:32 pm,174.000,23.9
03/18/2026 06:30:32 pm,174.500,23.9
03/18/2026 06:30:33 pm,175.000,23.9
03/18/2026 06:30:33 pm,175.500,23.9
03/18/2026 06:30:34 pm,176.000,23.9
03/18/2026 06:30:34 pm,176.500,23.9
03/18/2026 06:30:35 pm,177.000,23.9
03/18/2026 06:30:35 pm,177.500,23.9
03/18/2026 06:30:36 pm,178.000,23.9
03/18/2026 06:30:36 pm,178.500,23.9
03/18/2026 06:30:37 pm,179.000,23.9
03/18/2026 06:30:37 pm,179.500,23.9
03/18/2026 06:30:38 pm,180.000,23.9
03/18/2026 06:30:38 pm,180.500,23.9
03/18/2026 06:30:39 pm,181.000,23.9
03/18/2026 06:30:39 pm,181.500,23.9
03/18/2026 06:30:40 pm,182.000,23.9
03/18/2026 06:30:40 pm,182.500,23.9
03/18/2026 06:30:41 pm,183.000,23.9
03/18/2026 06:30:41 pm,183.500,23.9
03/18/2026 06:30:42 pm,184.000,23.9
03/18/2026 06:30:42 pm,184.500,23.9
03/18/2026 06:30:43 pm,185.000,23.9
03/18/2026 06:30:43 pm,185.500,23.9
03/18/2026 06:30:44 pm,186.000,23.9
03/18/2026 06:30:44 pm,186.500,23.9
03/18/2026 06:30:45 pm,187.000,23.9
03/18/2026 06:30:45 pm,187.500,23.9
03/18/2026 06:30:46 pm,188.000,23.9
03/18/2026 06:30:46 pm,188.500,23.9
03/18/2026 06:30:47 pm,189.000,23.9
03/18/2026 06:30:47 pm,189.500,23.9
03/18/2026 06:30:48 pm,190.000,23.9
03/18/2026 06:30:48 pm,190.500,23.9
03/18/2026 06:30:49 pm,191.000,23.9
03/18/2026 06:30:49 pm,191.500,23.9
03/18/2026 06:30:50 pm,192.000,23.9
03/18/2026 06:30:50 pm,192.500,23.9
03/18/2026 06:30:51 pm,193.000,23.9
03/18/2026 06:30:51 pm,193.500,23.9
03/18/2026 06:30:52 pm,194.000,23.9
03/18/2026 06:30:52 pm,194.500,23.9
03/18/2026 06:30:53 pm,195.000,23.9
03/18/2026 06:30:53 pm,195.500,23.9
03/18/2026 06:30:54 pm,196.000,23.9
03/18/2026 06:30:54 pm,196.500,23.9
03/18/2026 06:30:55 pm,197.000,23.9
03/18/2026 06:30:55 pm,197.500,23.9
03/18/2026 06:30:56 pm,198.000,23.9
03/18/2026 06:30:56 pm,198.500,23.9
03/18/2026 06:30:57 pm,199.000,23.9
03/18/2026 06:30:57 pm,199.500,23.9
03/18/2026 06:30:58 pm,200.000,23.9
03/18/2026 06:30:58 pm,200.500,23.9
03/18/2026 06:30:59 pm,201.000,23.9
03/18/2026 06:30:59 pm,201.500,23.9
03/18/2026 06:31:00 pm,202.000,23.9
03/18/2026 06:31:00 pm,202.500,23.9
03/18/2026 06:31:01 pm,203.000,23.9
03/18/2026 06:31:01 pm,203.500,23.9
03/18/2026 06:31:02 pm,204.000,24.0
03/18/2026 06:31:02 pm,204.500,23.9
03/18/2026 06:31:03 pm,205.000,23.9
03/18/2026 06:31:03 pm,205.500,23.9
03/18/2026 06:31:04 pm,206.000,23.9
03/18/2026 06:31:04 pm,206.500,23.9
03/18/2026 06:31:05 pm,207.000,23.9
03/18/2026 06:31:05 pm,207.500,23.9
03/18/2026 06:31:06 pm,208.000,24.0
03/18/2026 06:31:06 pm,208.500,23.9
03/18/2026 06:31:07 pm,209.000,23.9
03/18/2026 06:31:07 pm,209.500,23.9
03/18/2026 06:31:08 pm,210.000,23.9
03/18/2026 06:31:08 pm,210.500,23.9
03/18/2026 06:31:09 pm,211.000,23.9
03/18/2026 06:31:09 pm,211.500,23.9
03/18/2026 06:31:10 pm,212.000,23.9
03/18/2026 06:31:10 pm,212.500,23.9
03/18/2026 06:31:11 pm,213.000,23.9
03/18/2026 06:31:11 pm,213.500,23.9
03/18/2026 06:31:12 pm,214.000,23.9
